lang,N,row_treatment,gate_on,rule_clause,floor_unmod,floor_assigned,seen_rescale,target_lang,floor_gap_shift
fue_Latn,10730,floor21,True,else_floor21_gate,-16.721743,-21.0,0.0,fuh_Latn,-3.357754
fuf_Latn,21670,unmod,False,head_unmod,-17.478354,,0.0,fuh_Latn,0.0
fuh_Latn,24509,unmod,False,head_unmod,-17.642246,,0.0,fuv_Latn,0.0
fuq_Latn,17770,floor21,True,else_floor21_gate,-17.315521,-21.0,0.0,fuv_Latn,-3.190923999999999
fur_Latn,46173,unmod,False,head_unmod,-18.03755,,0.0,lmo_Latn,0.0
fuv_Arab,6753,floor21,True,else_floor21_gate,-16.771152,-21.0,0.0,aeb_Arab,-3.2110179999999993
fuv_Latn,30578,unmod,False,head_unmod,-17.809076,,0.0,fub_Latn,0.0
gaa_Latn,100000,unmod,False,head_unmod,-18.61051,,0.0,,
gag_Cyrl,14070,floor21,True,else_floor21_gate,-17.26737,-21.0,0.0,mhr_Cyrl,-2.236882999999999
gag_Latn,14325,floor21,True,else_floor21_gate,-17.271614,-21.0,0.0,tur_Latn,-2.0946250000000006
gah_Latn,24357,unmod,False,head_unmod,-18.015076,,0.0,tar_Latn,0.0
gai_Latn,17631,floor21,True,else_floor21_gate,-17.793003,-21.0,0.0,mak_Latn,-2.5944770000000013
gam_Latn,24151,unmod,False,head_unmod,-17.762703,,0.0,kue_Latn,0.0
gaw_Latn,24230,unmod,False,head_unmod,-18.025034,,0.0,bjn_Latn,0.0
gaz_Latn,100000,unmod,False,head_unmod,-18.853632,,0.0,,
gbi_Latn,13298,floor21,True,else_floor21_gate,-17.432003,-21.0,0.0,tlb_Latn,0.0
gbo_Latn,6764,floor21,True,else_floor21_gate,-16.787098,-21.0,0.0,fon_Latn,-2.059588999999999
gbr_Latn,10708,floor21,True,else_floor21_gate,-16.894205,-21.0,0.0,hau_Latn,-1.9948119999999996
gcf_Latn,67389,unmod,False,head_unmod,-18.229351,,0.0,hat_Latn,0.0
gcr_Latn,26871,unmod,False,head_unmod,-17.246346,,0.0,gcf_Latn,0.0
gde_Latn,17787,floor21,True,else_floor21_gate,-17.613447,-21.0,0.0,meq_Latn,0.0
gdg_Latn,10967,floor21,True,else_floor21_gate,-17.01088,-21.0,0.0,ibg_Latn,-2.616237999999999
gdn_Latn,23906,unmod,False,head_unmod,-18.109074,,0.0,pwg_Latn,0.0
gdr_Latn,24452,unmod,False,head_unmod,-18.135242,,0.0,bjn_Latn,0.0
geb_Latn,17527,floor21,True,else_floor21_gate,-17.794083,-21.0,0.0,jav_Latn,-1.835878000000001
gej_Latn,6763,floor21,True,else_floor21_gate,-16.579706,-21.0,0.0,ajg_Latn,-3.572866000000001
gfk_Latn,23745,unmod,False,head_unmod,-17.883492,,0.0,ksd_Latn,0.0
ghe_Deva,11062,floor21,True,else_floor21_gate,-17.118935,-21.0,0.0,npi_Deva,-1.7426819999999985
ghs_Latn,29407,unmod,False,head_unmod,-18.078365,,0.0,sid_Latn,0.0
gid_Latn,11033,floor21,True,else_floor21_gate,-16.925144,-21.0,0.0,meq_Latn,0.0
gil_Latn,100000,unmod,False,head_unmod,-18.537588,,0.0,,
giz_Latn,34343,unmod,False,head_unmod,-18.117222,,0.0,fub_Latn,0.0
gjn_Latn,30192,unmod,False,head_unmod,-18.018438,,0.0,gaa_Latn,0.0
gkn_Latn,77520,unmod,False,head_unmod,-18.659107,,0.0,yor_Latn,0.0
gla_Latn,100000,unmod,False,head_unmod,-19.287479,,0.0,,
gle_Latn,100000,unmod,False,head_unmod,-19.474548,,0.0,,
glg_Latn,100000,unmod,False,head_unmod,-19.032265,,0.0,,
glk_Arab,22263,unmod,False,head_unmod,-17.741455,,0.0,fas_Arab,0.0
glv_Latn,60970,unmod,False,head_unmod,-18.753691,,0.0,cym_Latn,0.0
gmh_Latn,3042,floor21,True,else_floor21_gate,-15.411914,-21.0,0.0,deu_Latn,-1.9782730000000015
gmv_Ethi,10916,floor21,True,else_floor21_gate,-17.009174,-21.0,0.0,gof_Ethi,0.0
gmv_Latn,30907,unmod,False,head_unmod,-17.883495,,0.0,wal_Latn,0.0
gna_Latn,10888,floor21,True,else_floor21_gate,-17.128237,-21.0,0.0,sld_Latn,0.0
gnb_Latn,11064,floor21,True,else_floor21_gate,-16.931225,-21.0,0.0,vap_Latn,-3.0895629999999983
gnd_Latn,13375,floor21,True,else_floor21_gate,-17.570505,-21.0,0.0,mfh_Latn,0.0
gng_Latn,17738,floor21,True,else_floor21_gate,-17.510496,-21.0,0.0,bam_Latn,-3.71903
gnn_Latn,15289,floor21,True,else_floor21_gate,-17.916592,-21.0,0.0,bvr_Latn,0.0
gnw_Latn,36657,unmod,False,head_unmod,-18.378454,,0.0,gyr_Latn,0.0
goa_Latn,1598,floor21,True,else_floor21_gate,-14.644472,-21.0,0.0,avk_Latn,0.0
gof_Ethi,11001,floor21,True,else_floor21_gate,-16.897053,-21.0,0.0,mdy_Ethi,-1.9141559999999984
gof_Latn,17756,floor21,True,else_floor21_gate,-17.288509,-21.0,0.0,gmv_Latn,-3.116505
gog_Latn,14102,floor21,True,else_floor21_gate,-17.190296,-21.0,0.0,kki_Latn,0.0
goh_Latn,306,floor21,True,else_floor21_gate,-13.796722,-21.0,0.0,ang_Latn,0.0
gom_Deva,3496,floor21,True,else_floor21_gate,-15.896592,-21.0,0.0,mar_Deva,-2.0681949999999993
gom_Latn,77660,unmod,False,head_unmod,-18.57704,,0.0,sco_Latn,0.0
gor_Latn,13438,floor21,True,else_floor21_gate,-17.365936,-21.0,0.0,swh_Latn,-2.002220000000001
gos_Latn,3946,floor21,True,else_floor21_gate,-14.725354,-21.0,0.0,zea_Latn,0.0
got_Goth,7413,floor21,True,else_floor21_gate,-16.408777,-21.0,0.0,,
got_Latn,4657,floor21,True,else_floor21_gate,-15.593228,-21.0,0.0,pfl_Latn,0.0
