lang,tier
kum_Cyrl,genus_script
kup_Latn,family_script
kus_Latn,script
kvg_Latn,family_script
kvj_Latn,script
kvn_Latn,script
kwd_Latn,genus_script
kwf_Latn,script
kwi_Latn,script
kwj_Latn,script
kwn_Latn,genus_script
kwy_Latn,script
kxc_Ethi,script
kxm_Thai,script
kxw_Latn,script
kyc_Latn,family_script
kyf_Latn,script
kyg_Latn,script
kyq_Latn,genus_script
kyu_Kali,none
kyu_Latn,script
kyu_Mymr,script
kyz_Latn,genus_script
kze_Latn,script
kzf_Latn,family_script
kzj_Latn,family_script
kzn_Latn,script
lac_Latn,genus_script
lad_Hebr,script
lad_Latn,genus_script
lai_Latn,script
laj_Latn,genus_script
lam_Latn,genus_script
lao_Laoo,none
lap_Latn,script
las_Latn,script
lat_Latn,script
law_Latn,family_script
lbb_Latn,script
lbe_Cyrl,script
lbj_Tibt,script
lbk_Latn,genus_script
lcm_Latn,genus_script
lcp_Thai,script
ldi_Latn,script
ldn_Latn,script
lea_Latn,genus_script
led_Latn,family_script
lee_Latn,genus_script
lef_Latn,family_script
leh_Latn,script
lem_Latn,script
leu_Latn,genus_script
lew_Latn,family_script
lex_Latn,family_script
lez_Cyrl,script
lfn_Cyrl,script
lfn_Latn,script
lgg_Latn,family_script
lgl_Latn,script
lgm_Latn,script
lhi_Latn,script
lhu_Latn,family_script
lia_Latn,script
lid_Latn,script
lif_Deva,script
lif_Limb,none
lij_Latn,genus_script
lim_Latn,script
lin_Latn,genus_script
lip_Latn,script
lis_Lisu,none
lit_Latn,family_script
liv_Latn,family_script
ljp_Latn,family_script
lki_Arab,script
llb_Latn,script
lld_Latn,genus_script
llg_Latn,script
lln_Latn,family_script
lmk_Latn,script
lmo_Latn,script
lmp_Latn,script
lnd_Latn,family_script
lob_Latn,family_script
loe_Latn,script
log_Latn,family_script
lok_Latn,genus_script
lol_Latn,genus_script
lom_Latn,genus_script
loq_Latn,script
loz_Latn,genus_script
lrc_Arab,genus_script
lsi_Latn,script
lsm_Latn,script
ltg_Latn,script
ltz_Latn,genus_script
lua_Latn,genus_script
lub_Latn,genus_script
luc_Latn,script
lud_Latn,script
lue_Latn,genus_script
lug_Latn,genus_script
lun_Latn,genus_script
luo_Latn,genus_script
lus_Latn,genus_script
lvs_Latn,script
lwg_Latn,script
lwo_Latn,genus_script
lww_Latn,genus_script
lzh_Hani,script
maa_Latn,script
mad_Latn,genus_script
maf_Latn,script
mag_Deva,genus_script
mah_Latn,genus_script
mai_Deva,genus_script
maj_Latn,script
mak_Latn,genus_script
mal_Latn,script
mal_Mlym,none
mam_Latn,genus_script
maq_Latn,family_script
mar_Deva,genus_script
mar_Latn,genus_script
mas_Latn,genus_script
mau_Latn,family_script
mav_Latn,script
maw_Latn,genus_script
max_Latn,script
maz_Latn,family_script
mbb_Latn,genus_script
mbc_Latn,genus_script
mbd_Latn,script
mbf_Latn,script
mbh_Latn,script
mbi_Latn,script
mbj_Latn,script
mbl_Latn,script
mbs_Latn,script
mbt_Latn,genus_script
mca_Latn,script
mcb_Latn,family_script
mcd_Latn,genus_script
mcf_Latn,genus_script
mck_Latn,script
mcn_Latn,family_script
mco_Latn,genus_script
mcp_Latn,genus_script
mcq_Latn,script
mcu_Latn,family_script
mda_Latn,family_script
mdf_Cyrl,family_script
mdy_Ethi,family_script
med_Latn,script
mee_Latn,script
mej_Latn,script
mek_Latn,genus_script
men_Latn,genus_script
meq_Latn,script
mer_Latn,script
met_Latn,script
meu_Latn,genus_script
mev_Latn,family_script
mfe_Latn,genus_script
mfg_Latn,script
mfh_Latn,script
mfi_Latn,script
mfk_Latn,script
mfq_Latn,script
mfy_Latn,family_script
mfz_Latn,script
mgc_Latn,script
mgh_Latn,genus_script
mgm_Latn,script
mgo_Latn,script
mgr_Latn,genus_script
mhi_Latn,family_script
mhl_Latn,script
mhr_Cyrl,family_script
mhw_Latn,script
mhx_Latn,family_script
mhy_Latn,family_script
mib_Latn,family_script
mic_Latn,script
mie_Latn,family_script
mif_Latn,family_script
mig_Latn,family_script
mih_Latn,family_script
mil_Latn,family_script
mim_Latn,family_script
min_Arab,script
min_Latn,genus_script
mio_Latn,family_script
mip_Latn,script
miq_Latn,script
mir_Latn,script
mit_Latn,script
miy_Latn,family_script
miz_Latn,family_script
mjc_Latn,family_script
mjw_Latn,family_script
mkd_Cyrl,genus_script
mkl_Latn,script
mkn_Latn,script
mks_Latn,family_script
mkz_Latn,script
mlh_Latn,script
mlp_Latn,family_script
mlt_Latn,family_script
mlu_Latn,genus_script
mmn_Latn,genus_script
mmo_Latn,script
mmx_Latn,script
mna_Latn,genus_script
mnb_Latn,family_script
mnf_Latn,family_script
mni_Beng,script
mni_Latn,family_script
mni_Mtei,none
mnk_Latn,genus_script
mns_Cyrl,family_script
mnw_Mymr,script
mnx_Latn,script
mny_Latn,script
moa_Latn,script
moc_Latn,script
mog_Latn,genus_script
moh_Latn,script
mop_Latn,genus_script
mor_Latn,script
mos_Latn,genus_script
mox_Latn,script
mpg_Latn,script
mph_Latn,script
mpm_Latn,family_script
mpp_Latn,script
mps_Latn,script
mpt_Latn,genus_script
mpx_Latn,script
mqb_Latn,script
mqj_Latn,genus_script
mqy_Latn,family_script
mrg_Latn,family_script
mri_Latn,genus_script
mrj_Cyrl,family_script
mrq_Latn,genus_script
mrv_Latn,script
mrw_Latn,genus_script
msb_Latn,script
msc_Latn,script
mse_Latn,script
msk_Latn,script
msm_Latn,script
msy_Latn,script
mta_Latn,script
mtg_Latn,family_script
mti_Latn,script
mtj_Latn,script
mto_Latn,genus_script
mtp_Latn,script
mua_Latn,family_script
mug_Latn,family_script
muh_Latn,family_script
mui_Latn,script
mup_Deva,script
mur_Latn,family_script
mus_Latn,script
mux_Latn,script
muy_Latn,script
mva_Latn,genus_script
mvn_Latn,genus_script
mvp_Latn,script
mwc_Latn,script
mwf_Latn,script
mwl_Latn,script
mwm_Latn,script
mwn_Latn,script
mwp_Latn,script
mwq_Latn,script
mwv_Latn,genus_script
mww_Latn,family_script
mxb_Latn,script
mxp_Latn,genus_script
mxq_Latn,script
mxt_Latn,family_script
mxv_Latn,script
mya_Mymr,script
