lang,N,category,support,f1_baseline,f1_freq_prior,f1_learned_bias,f1_floor21,f1_margin_q5,f1_margin_q5_head,f1_gt_margin_adaptive
mrq_Latn,827,flat_magnet,37,0.06234203875315923,0.07072691552062868,0.06016260162601626,0.11475409836065574,0.319634703196347,0.26119402985074625,0.11686143572621034
mrv_Latn,137,flat_magnet,7,0.2702702702702703,0.6153846153846153,0.3225806451612903,0.6666666666666666,0.23255813953488372,0.2702702702702703,0.05490196078431372
mrw_Latn,32855,head,5497,0.9881102504053324,0.9898953446409239,0.99096657633243,0.9888227870921219,0.9878433138226025,0.9874876226483031,0.9896256202074876
msb_Latn,17760,mid,1537,0.8353808353808353,0.8712250712250712,0.8648954211418881,0.840571742715778,0.8351528384279475,0.8353808353808353,0.9411764705882352
msc_Latn,4006,mid,505,0.9627507163323782,0.9814995131450828,0.9673704414587333,0.9767441860465116,0.9609151572926596,0.9627507163323782,0.9716599190283399
mse_Latn,11044,mid,1713,0.994175888177053,0.99533527696793,0.9950451763334304,0.99533527696793,0.993886462882096,0.994175888177053,0.99502196193265
msk_Latn,17461,mid,1495,0.9923511805786498,0.9936729936729938,0.9930116472545758,0.9926764314247669,0.9923511805786498,0.9923511805786498,0.9959812458137977
msm_Latn,17525,mid,1846,0.9868738280203591,0.9884625704319828,0.9892646269457863,0.9871382636655949,0.9866095340117836,0.9868738280203591,0.9935240151106314
msy_Latn,23880,head,1043,0.9966555183946488,0.997608799617408,0.9980861244019139,0.9966555183946488,0.9966555183946488,0.9966555183946488,0.997131931166348
mta_Latn,17707,mid,2878,0.9984383133784487,0.9986111111111111,0.9986115931968067,0.9986115931968067,0.9984383133784487,0.9984383133784487,0.9993050729673384
mtg_Latn,10910,mid,1715,0.9959349593495934,0.997382960162838,0.9962242230612838,0.997381437299971,0.9956458635703919,0.9959349593495934,0.9961954931226221
mti_Latn,37906,head,1467,0.9962623173632348,0.9962623173632348,0.9976182374957469,0.9966009517335146,0.9962623173632348,0.9962623173632348,0.9965986394557822
mtj_Latn,13341,mid,2141,0.9972054028877503,0.9983679179295873,0.9981351981351981,0.9974376892615887,0.9972054028877503,0.9972054028877503,0.995549308971656
mto_Latn,24568,head,2698,0.9994443415447305,0.9994443415447305,0.9996294924045943,0.9992592592592592,0.9994443415447305,0.9994443415447305,0.9992592592592592
mtp_Latn,17826,mid,2560,0.9996095275283092,0.9998047256395235,0.9998047256395235,0.9996095275283092,0.9994144056217059,0.9996095275283092,1.0
mua_Latn,11045,mid,1721,0.9982578397212544,0.9982578397212544,0.9985477781004937,0.9979668893406912,0.9982578397212544,0.9982578397212544,0.9979645245710962
mug_Latn,30584,head,5143,0.9935984481086324,0.9936948297604036,0.9938876491704668,0.9932117920868891,0.9935984481086324,0.9935984481086324,0.9930164888457808
muh_Latn,17927,mid,2912,0.9993131868131868,0.9996565934065934,0.9994848016486347,0.9998282672162115,0.9993131868131868,0.9993131868131868,0.9993127147766323
mui_Latn,2590,mid,254,0.39312039312039315,0.5977301387137454,0.5100956429330499,0.4030226700251889,0.392156862745098,0.39312039312039315,0.8880157170923378
mup_Deva,6754,mid,984,0.914179104477612,0.9423076923076923,0.9707486365889936,0.9162377164248947,0.9133271202236721,0.914179104477612,0.9713701431492844
mur_Latn,13305,mid,2132,0.9976569821930646,0.9976569821930646,0.9976569821930646,0.9971910112359551,0.9971896955503513,0.9976569821930646,0.9964780464897863
mus_Latn,406,flat_magnet,18,0.22499999999999998,0.5070422535211268,0.3,0.9,0.5614035087719298,0.6274509803921569,0.6666666666666666
mux_Latn,30379,head,1844,0.9967550027041644,0.9970246145523397,0.9978343259339469,0.9972943722943723,0.996485536631522,0.996485536631522,0.9981045220687788
muy_Latn,17784,mid,2840,0.9975404075895994,0.9982425307557118,0.9980664440147653,0.9978917779339423,0.9977164939399262,0.9975404075895994,0.99982397465235
mva_Latn,31340,head,1096,0.9936421435059036,0.9940935938209905,0.9949977262391997,0.994098955969133,0.9936421435059036,0.9936421435059036,0.9945454545454545
mvn_Latn,17532,mid,2063,0.997090203685742,0.9973320397768615,0.9973320397768615,0.9973320397768615,0.997090203685742,0.997090203685742,0.9975728155339806
mvp_Latn,13386,mid,2111,0.9941023826374145,0.9945716308708993,0.9948064211520302,0.9948064211520302,0.9941023826374145,0.9941023826374145,0.9950272318257163
mwc_Latn,5701,mid,476,0.9645390070921985,0.9754098360655737,0.969450101832994,0.9774127310061602,0.9635627530364372,0.9645390070921985,0.9905561385099686
mwf_Latn,268,flat_magnet,12,0.888888888888889,1.0,0.923076923076923,0.9600000000000001,1.0,1.0,0.9600000000000001
mwl_Latn,29497,head,4981,0.695847994370162,0.7425266636623103,0.8694657160461228,0.6955114675671873,0.6949676693843125,0.6944795617361988,0.6948389818590915
mwm_Latn,34765,head,4464,0.9984315482859063,0.9985434173669467,0.998655311519498,0.9985434173669467,0.9984315482859063,0.9984315482859063,0.9984311967727477
mwn_Latn,45676,head,7671,0.9324794827157423,0.9248055315471045,0.9160202772857754,0.9221497970729308,0.9247166091670774,0.9086398838334947,0.9472478523703468
mwp_Latn,4930,mid,667,0.9977561705310396,0.9985029940119761,0.9977561705310396,0.9977561705310396,0.9970104633781763,0.9977561705310396,0.9939668174962292
mwq_Latn,13480,mid,2163,0.9988444649872891,0.9988444649872891,0.9986136783733827,0.9981524249422633,0.9988444649872891,0.9988444649872891,0.9962928637627434
mwv_Latn,13480,mid,2157,0.992626728110599,0.9946894481643963,0.9944598337950139,0.9930875576036867,0.992626728110599,0.992626728110599,0.9948884758364314
mww_Latn,100000,head,27485,0.9946658872529319,0.9947404945396107,0.9950316004822269,0.9947590438450723,0.9946477175163948,0.9946477175163948,0.9953476491945047
mxb_Latn,17827,mid,2899,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9996551724137931,0.9994824909435915
mxp_Latn,17765,mid,1503,0.9983372131692717,0.9986693280106453,0.9986693280106453,0.9983372131692717,0.9983372131692717,0.9983372131692717,0.9990009990009989
mxq_Latn,17822,mid,2906,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mxt_Latn,17738,mid,1532,0.9993476842791911,0.999673735725938,1.0,0.9993476842791911,0.9993476842791911,0.9993476842791911,1.0
mxv_Latn,100000,head,22461,0.9984628066032482,0.9985076953916743,0.9985518547398909,0.998218738867118,0.9984628066032482,0.9984628066032482,0.9969321061758035
mya_Mymr,100000,head,85031,0.9990649094020713,0.999159095586722,0.9990766932680941,0.9991296984522745,0.9991120102089422,0.999117916872486,0.9990591334619183
myb_Latn,17794,mid,2523,0.9970302910314789,0.9978204874182682,0.9984139571768438,0.9976228209191759,0.9970302910314789,0.9970302910314789,0.998611386629637
myk_Latn,17969,mid,2910,0.9989701338825953,0.9991413360810578,0.9989697802197802,0.9989694263139814,0.998798695726789,0.9989701338825953,0.9996562392574768
myu_Latn,17307,mid,1509,0.9973544973544973,0.9970247933884299,0.9970247933884299,0.9976844194508766,0.9973544973544973,0.9973544973544973,0.99734395750332
myv_Cyrl,46588,head,7822,0.8176633534300146,0.81851150202977,0.9218807395616506,0.8145820919776827,0.8171949630916198,0.8170619200086829,0.8179589167983435
myw_Latn,20830,head,922,0.9903225806451613,0.9903225806451613,0.9908552985476062,0.9913885898815931,0.9903225806451613,0.9897904352498657,0.9913885898815931
myx_Latn,24108,head,3389,0.9882387533078506,0.9896967912864293,0.9910069290874244,0.9886748051183997,0.9882387533078506,0.9879482657260436,0.9880794701986755
myy_Latn,17572,mid,1656,0.9984926138076575,0.9984926138076575,0.9984926138076575,0.9984926138076575,0.9984926138076575,0.9984926138076575,0.9993964996982498
mza_Latn,17806,mid,1565,0.9971328448550494,0.9984051036682616,0.9971328448550494,0.9971328448550494,0.9971328448550494,0.9971328448550494,0.9990406140070355
mzh_Latn,30095,head,4937,0.9926507600926205,0.9927507047925895,0.9926492800322224,0.9919500905614813,0.9926507600926205,0.992550835514395,0.9924494110540621
mzk_Latn,13518,mid,2159,0.998611753817677,0.9988428604489701,0.9990740740740741,0.9990740740740741,0.998611753817677,0.998611753817677,0.9981447124304267
